Article|Label
The International, often abbreviated as TI, is an annual tournament organized by Valve. In 2015 Valve increased their number of hosted events, founding the Dota Major Championships which incorporates The International into its structure.The International remains the biggest and most prestigious event on the Major Championship circuit.The first International was held in Cologne, Germany, during the trade show Gamescom, in order to unveil Dota 2 to worldwide audiences. It drew attention due to its staggering $1.6 million USD prize pool (with $1 million for the champion). 16 teams were invited to play for the title.In 2012 The International moved to Seattle, Washington. The prize pool remained at $1.6 million USD. Only 14 teams were invited. Two additional slots were awarded to the winners of regional qualifiers. Since 2013, the Dota 2 community has been able to contribute to the prize pool. The total prize of The International 2013 grew to $2.8 million USD. In 2014, the prize pool surpassed $10 million. In 2016 it eclipsed $20 million, making The International the biggest esports tournament in terms of prize pool.|Gaming
MDL Changsha kicks off tomorrow with the Group Stages and after a rather entertaining draw, the groups are now in place and the teams are ready to get the first of three Dota 2 Majors which close out the DPC season underway. Tomorrow our journey towards The International 2018 continues as the MDL Changsha Dota 2 Major kicks off in China. The Major is the first of three which will close out the inaugural season of the Dota Pro Circuit and features 12 teams from around the world competing for the sizeable prize pool, but more importantly, the 1500 DPC points on offer. The team managers and captains got together a few hours ago and the draw for the Group Stages took place. The format of the draw was decided beforehand, placing the 2 highest ranked DPC teams involved in separate groups (PSG.LGD and Team Secret) before these 2 teams picked their opponents in alternating fashion, with Secret picking first. The Group Stages will feature a best-of-two round robin where the winners of each group will go straight through into the 2nd round of the Upper bracket, 2nd and 3rd place will advance to the first round of the Upper bracket, 4th and 5th place will move to the Lower bracket while the last place in each group will be eliminated. Once teams are in the Upper bracket playoffs, all games up to the grand final will be best-of-three, while the Lower bracket opens up with a best-of-one before moving into best-of-three's all the way up until the grand final.|Gaming
The Dota 2 Battle Pass's custom game modes are sounding a little more goofy this year. The first one to be released by Valve is just like any game of Dota 2, except with 24-hour rotating modifiers thrown in to spice it up. In other words, if Dota 2 didn't have enough bogus abilities, wait until you see what this mode introduces. So far, the game mode has brought in some pretty hilarious modifiers. If you thought runes were already strong, wait until you see an enemy coming at you with a quadruple-powered Haste Rune. There's nothing quite like a few Ancient creeps stomping down the lane, regardless of which side of the Ancient you're on. And sometimes, a simple teammate resurrection is juicy enough.|Gaming
With the new login theme now added to the game's PBE, players can expect to see it come to the game's live servers sometime soon. It'll replace the current login theme for MSI 2018 when it does, the season's first international event that's currently underway. There's also no release date that's been set yet for the Clash tournament mode that Riot Games has been testing over time with PBE trial runs and live betas. One of the most recent betas for the Clash mode was launched back in April where even non-PBE players could test the new mode by forming teams and fighting for prizes. The PBE tests that have been held in the past were Riot's way of trying to squash some bugs while incentivizing players with rewards if they helped contribute to the tests while the open beta allowed more players to participate than ever before where a first look at the system was provided. To participate in the feature when it goes live for everyone, you'll have to first put together a worthy team and then purchase some entry tickets to compete. These tickets can be bought with either Blue Essence or Riot Points and everyone on the team will have to be a ticket-holder to obtain entry.|Gaming
"The organization will retain top laner Niship ""Dhokla"" Doshi, jungler Matthew ""Akaadian"" Higginbotham, mid laners Tristan ""PowerOfEvil"" Schrage and Cristian ""Palafox"" Palafox and AD carry Noh ""Arrow"" Dong-hyeon, each of whom joined the organization shortly after it entered the League of Legends space. Austin ""Gate"" Yu is reportedly joining OpTic as well, completing a 10-man roster OpTic will use that will alternate between the North American League of Legends Championship Series and the Academy League depending on scrimmage performance, sources close to the team told ESPN".|Gaming
"The video appears to show our new person-shaped champion falling into the maw of a giant undersea monster before transforming into something truly terrifying. Now, Pyke appears to stalk the streets looking for victims to string up for gruesome fish-based murder seeking revenge on the crew mates that let him drown. Accompanying the video in the original Tweet was the message, ""Pyke's shipmates watched him drown. In his eyes, all of Bilgewater is guilty."" The video also has some narration where Pyke has the chance to tell his own grim story, ""I remember the day I died, and those who betrayed me. Yes, I see them. I see the faces of all who were. You, you look familiar."" According to Riot's initial tease, Pyke is likely to be a support with plenty of play-making potential. He is also supposed to have a ""deep darker thematic than most of the support cast,"" which seems to be an understatement based on this video. This early teaser likely means we are going to see more of Pyke soon, when we can hopefully learn exactly what this new support can do".|Gaming
At the end of last year the ECS Counter-Strike: Global Offensive league, which has an annual prize pool of $1.5 million, did something a little different. Instead of hiring a massive arena and putting on a big stage show for the finals of their league, as the team had done for each of the three previous seasons, they decided to book out a ton of rooms at the Hard Rock Hotel in Cancun, Mexico and let the team compete for hundreds of thousands of dollars while enjoying a stay at a luxury resort. Many questioned the decision, sure some smaller events had tried similar things, but nothing on this kind of scale. It also meant that there was no live crowd for the matches, which could reduce the excitement, and the relaxed atmosphere could mean that some teams were not in the right mindset. However, it turned out pretty well, with many saying it was the perfect end to the year of pro CS, and unsurprising all the players loved it.|Gaming
The FACEIT London Major is set to be the first Counter-Strike: Global Offensive Major held in the UK, and it has a pretty fitting location of Wembley arena. But the Minors, which will decide which teams will make it to the Major, will head to another of London's iconic sporting locations, Twickenham Stadium. The stadium which is best known as the home of English rugby, will host all of the regional Minors for the FACEIT Major, which is a change to what we usually see. Most Majors have held each Minor in its own region, but FACEIT have decided to bring everyone to London to battle it out. It's a risky move as visa issues could get in the way more than usual, but if it works then it will surely present a much better Minor system than previous years.|Gaming
The online section of ECS Season 5 came to an end on May 12th in both North America and Europe. Eight teams qualified for the LAN finals that are set to take to take place from June 8th to June 10th in Wembley. Out of the eight qualified teams, North America and Europe each have four teams representing the regions. The European teams consist of Astralis, Fnatic, G2 Esports and FaZe Clan. Astralis looks to be the favorite heading in the ECS Season 5 Finals, as the veteran laddened squad only lost one map out of 18 played during the online ECS season. North America's four representatives will be Cloud9, NRG Esports, Team Liquid and Luminosity Gaming. NRG Esports lead the way in the North American standings with a superb online ECS season, while a three way tie saw Team Liquid and Luminosity Gaming may their way in over Renegades and ECS Season 3 Champions SK Gaming.|Gaming
The Bounty Rune saw some pretty heavy changes this week. Bounty Rune spawns have slowed down from every 2 minutes to every 5 minutes, but everyone gets a slice. In addition, it fills empty bottles the same way any other rune would. So now it's a pretty valuable pick-up, and there are certainly going to be fights over it in your upcoming matches. Roshan is a little bit stronger now, with damage, HP regeneration and base health kicking up. We've seen some pretty fast Roshan wipes competitively, and this should bring the pace down and make entering the Rosh Pit a little more drastic of a choice. Denying a Tower entirely removes the bounty for the offensive team. Before it was a small sum per player, but now there's more motivation to ensure the other team doesn't pick up the full bounty. Captain's Mode saw its first changes since The International this past year. For one, each round has an extra five seconds tacked on, bringing the timer up from 30 to 35 seconds per pick. They've also flipped the order of the second ban, from 2nd/1st/2nd/1st to 1st/2nd/1st/2nd. In addition, there are changes to the lane creeps, Observer Wards and the map itself, so be sure to read up below if you plan on playing yourself or following the competitive scene! It's not a huge patch length-wise, but its impact will instantly be felt.|Gaming
